Date,Open,High,Low,Close,Volume
2015-01-01,189.65743085018167,190.87715534273178,189.0903506676063,189.9998016357422,2963643
2015-01-02,190.04261601795088,191.74382815812206,189.22947104058622,189.4969482421875,7331366
2015-01-05,189.37925486692558,190.6417900892634,187.04678228843514,187.4212646484375,10103941
2015-01-06,186.16943288485805,186.81139240746566,178.03788369901343,178.9152374267578,18627980
2015-01-07,179.12919862787868,183.77273017447342,179.10780045743553,182.80978393554688,20720312
2015-01-08,184.0509160030909,184.65009337577894,179.78186650077416,180.18844604492188,19872227
2015-01-09,181.54728059323858,184.45751798649138,180.8197283871731,184.09373474121094,13392787
2015-01-12,184.13654257589423,184.2435334450875,180.09217344442607,181.953857421875,10100113
2015-01-13,182.53163606142144,182.94891476700133,179.85679270891694,180.42385864257812,9948711
2015-01-14,180.39177025551925,181.24772588423613,177.86671400685174,178.66917419433594,11380041
2015-01-15,179.74980999523677,186.40482855783029,179.74980999523677,184.9390106201172,16927085
2015-01-16,184.02956058091692,187.23938705211427,182.32836269317522,186.10525512695312,19136963
2015-01-19,186.21222096929463,189.5932181135974,183.76205866343602,188.23440551757812,13339962
2015-01-20,188.6303094395571,193.77671368739692,188.0632291983135,193.2417449951172,13361320
2015-01-21,193.6590249541533,195.0285368158152,190.8878753971637,194.0334930419922,17084297
2015-01-22,193.69110862891478,194.12978549981565,188.20231962566118,189.1117706298828,23721627
2015-01-23,190.44917003317502,192.11827040016072,187.66733608819882,189.7858123779297,18080494
2015-01-27,191.06973937499922,191.88289856167683,188.41629435796523,190.2458953857422,17939876
2015-01-28,189.6146358133495,194.68616062104832,189.6146358133495,194.0548858642578,19298126
2015-01-29,194.10835928003982,199.97163021370753,194.0655629331805,198.8802947998047,36117653
2015-01-30,199.00868756270236,199.27617902007137,194.5149424979657,195.8523712158203,21746801
2015-02-02,196.0235729278048,196.84743125784271,193.80880461402253,194.31167602539062,19302710
2015-02-03,195.41371298308377,201.33048002463076,195.41371298308377,200.63502502441406,17092333
2015-02-04,200.95597636749395,201.96171909572098,198.131346029715,198.7519073486328,14072894
2015-02-05,200.2926149635579,201.1271580029095,196.3552368185314,197.6605682373047,12365643
2015-02-06,197.74617659105456,199.00869747891824,193.23103312750717,194.70755004882812,9045844
2015-02-09,192.8458658213798,196.4408594587449,190.87717644873985,191.88291931152344,8839692
2015-02-10,192.16108189681194,193.55199173331846,184.3077237267607,188.73727416992188,13651008
2015-02-11,189.59321436872443,193.60550041005428,188.9512548872894,192.7388458251953,9781008
2015-02-12,194.30096384372987,195.5741837758089,189.86071414308964,194.5470428466797,8709626
2015-02-13,195.58488238281177,197.04000107625566,194.52564419502826,196.33384704589844,7393680
2015-02-16,196.59062786062142,197.76757030685985,192.58905496930115,193.188232421875,12266698
2015-02-18,192.58905451039527,194.30096559739172,191.3907281770942,192.942138671875,9835036
2015-02-19,194.07626429908387,194.21536671250524,189.92490432901656,193.02772521972656,9550637
2015-02-20,191.57263416205217,191.73313477228302,186.4476279819841,186.8328094482422,18717199
2015-02-23,186.15871202779476,187.61383058417115,181.26908685768754,182.19993591308594,14104463
2015-02-24,182.7991414835957,183.3448092834425,179.10785594710333,180.06008911132812,19946218
2015-02-25,181.6328984084374,183.28060077082046,179.97448267383797,180.42385864257812,15274116
2015-02-26,181.05511963147399,181.88967704507175,179.02223582073267,180.1777801513672,21459750
2015-02-27,181.36540416281517,184.24354442256953,180.73414371246815,183.07730102539062,18659378
2015-03-02,185.95545256868127,187.34637688895236,183.07731213428505,184.9390106201172,14579511
2015-03-03,185.95544920611377,193.9692946794488,185.61307838971265,192.76026916503906,20636925
2015-03-04,193.87298815397747,194.6540500885291,188.32000476800712,189.98910522460938,14476047
2015-03-05,190.98416595587585,192.3215948287122,187.91344194847687,189.36856079101562,10716702
2015-03-09,189.40061516325153,190.82363641906434,184.9175696811767,186.09449768066406,14065391
2015-03-10,185.94473446187305,187.41055224966092,183.04519614763234,183.84765625,15234060
2015-03-11,184.23284012645408,186.08382507493755,182.40323906798355,183.16290283203125,11635873
2015-03-12,183.60157448825268,185.6130599730144,183.08798974561603,184.8426971435547,11782380
2015-03-13,185.95544114677145,186.08383019735746,181.24771406482,181.91107177734375,12936157
2015-03-16,182.2106431199992,182.73491264434313,179.81397631535776,180.19915771484375,13839990
2015-03-17,182.00737132545729,184.00815792038017,179.96378837851435,183.35549926757812,19070082
2015-03-18,183.38761034261188,186.65093242137806,182.89543797281914,185.8805694580078,9269885
2015-03-19,187.35706396918957,187.6031429821561,182.76702686252392,183.20570373535156,13934612
2015-03-20,183.58018907996612,184.2756584032449,181.5901014758716,182.7670440673828,10405717
2015-03-23,183.28058850662916,184.88549441073982,179.34321021313397,180.1670684814453,13251683
2015-03-24,180.19921247279058,182.8098618012925,180.19921247279058,181.45103454589844,9238431
2015-03-25,181.67569360019246,181.78268447671076,179.9637824379149,180.79833984375,10264941
2015-03-26,179.98520042928607,181.72920904653154,176.3474102356759,177.46014404296875,20621346
2015-03-27,178.44444683431152,178.67984101772635,171.5005398332376,173.6939239501953,23326922
2015-03-30,174.74248245411664,174.97786237927156,170.43062162831464,173.4906463623047,17330588
2015-03-31,175.04204104238607,178.23046882202829,175.04204104238607,176.7539520263672,20235395
2015-04-01,176.5185580338501,179.5357861477442,173.99350218572226,178.90452575683594,14588531
2015-04-06,178.89383683907658,179.32181460987394,175.7696176820999,176.46507263183594,12334096
2015-04-07,176.76465369502523,178.91522725845928,176.76465369502523,178.2197723388672,21275454
2015-04-08,178.358860326356,186.0624170072914,178.2304712861308,185.2920684814453,24821205
2015-04-09,185.20651067760386,192.37510009020858,183.7727899381834,191.54054260253906,27276420
2015-04-10,191.50844219771332,194.4721754262888,190.25662027122334,193.51992797851562,25323219
2015-04-13,194.04417985370733,197.88526655907532,192.32158390514024,197.40379333496094,20177342
2015-04-15,197.082837304697,201.0630127718253,194.12981725651957,197.64991760253906,22231264
2015-04-16,197.83176610044086,200.72060537180948,196.65483793114063,198.65562438964844,20177302
2015-04-17,200.08933369628787,202.06872201034483,197.42518950168795,198.3346405029297,23958678
